cell,microcell,location_x,location_y,household_number,place_number,Susceptible,InfectMild
0,0,5.96666666666668,50.1666666666667,0,4,0,0
0,1,5.96666666666668,50.1666666666667,1,5,1,0
0,2,5.96666666666668,50.1666666666667,0,3,0,0
0,3,5.96666666666668,50.1666666666667,0,4,0,0
0,4,5.96666666666668,50.1666666666667,0,5,0,0
0,5,5.96666666666668,50.1666666666667,0,3,0,0
0,6,5.96666666666668,50.1666666666667,0,5,0,0
0,7,5.96666666666668,50.1666666666667,0,4,0,0
0,8,5.96666666666668,50.1666666666667,0,6,0,0
1,0,5.97500000000001,50.1666666666667,3,2,7,0
1,1,5.97500000000001,50.1666666666667,2,5,4,0
1,2,5.97500000000001,50.1666666666667,3,5,5,0
1,3,5.97500000000001,50.1666666666667,2,6,4,0
1,4,5.97500000000001,50.1666666666667,1,4,2,0
1,5,5.97500000000001,50.1666666666667,2,6,4,0
1,6,5.97500000000001,50.1666666666667,0,6,0,0
1,7,5.97500000000001,50.1666666666667,2,1,3,0
1,8,5.97500000000001,50.1666666666667,1,7,2,0
2,0,5.99166666666668,50.1666666666667,0,6,0,0
2,1,5.99166666666668,50.1666666666667,0,4,0,0
2,2,5.99166666666668,50.1666666666667,0,3,0,0
2,3,5.99166666666668,50.1666666666667,2,8,3,0
2,4,5.99166666666668,50.1666666666667,1,3,1,0
2,5,5.99166666666668,50.1666666666667,1,3,1,0
2,6,5.99166666666668,50.1666666666667,1,5,1,0
2,7,5.99166666666668,50.1666666666667,0,8,0,0
2,8,5.99166666666668,50.1666666666667,1,3,1,0
3,0,6.00000000000001,50.1666666666667,1,4,2,0
3,1,6.00000000000001,50.1666666666667,2,8,3,0
3,2,6.00000000000001,50.1666666666667,0,10,0,0
3,3,6.00000000000001,50.1666666666667,1,3,2,0
3,4,6.00000000000001,50.1666666666667,1,2,1,0
3,5,6.00000000000001,50.1666666666667,2,5,3,0
3,6,6.00000000000001,50.1666666666667,1,7,2,0
3,7,6.00000000000001,50.1666666666667,2,6,3,0
3,8,6.00000000000001,50.1666666666667,2,6,4,0
4,0,5.96666666666668,50.1583333333333,1,9,1,0
4,1,5.96666666666668,50.1583333333333,3,7,6,0
4,2,5.96666666666668,50.1583333333333,2,11,3,0
4,3,5.96666666666668,50.1583333333333,4,8,9,0
4,4,5.96666666666668,50.1583333333333,4,3,8,0
4,5,5.96666666666668,50.1583333333333,3,2,6,0
4,6,5.96666666666668,50.1583333333333,1,3,2,0
4,7,5.96666666666668,50.1583333333333,3,4,6,0
4,8,5.96666666666668,50.1583333333333,0,5,0,0
5,0,5.97500000000001,50.1583333333333,11,8,25,0
5,1,5.97500000000001,50.1583333333333,10,4,23,0
5,2,5.97500000000001,50.1583333333333,12,1,29,0
5,3,5.97500000000001,50.1583333333333,9,4,22,0
5,4,5.97500000000001,50.1583333333333,10,5,24,0
5,5,5.97500000000001,50.1583333333333,8,4,19,0
5,6,5.97500000000001,50.1583333333333,8,3,19,0
5,7,5.97500000000001,50.1583333333333,12,4,29,0
5,8,5.97500000000001,50.1583333333333,14,8,33,0
6,0,5.98333333333334,50.1583333333333,0,2,0,0
6,1,5.98333333333334,50.1583333333333,0,7,0,0
6,2,5.98333333333334,50.1583333333333,0,10,0,0
6,3,5.98333333333334,50.1583333333333,0,7,0,0
6,4,5.98333333333334,50.1583333333333,2,2,3,0
6,5,5.98333333333334,50.1583333333333,0,7,0,0
6,6,5.98333333333334,50.1583333333333,1,6,2,0
6,7,5.98333333333334,50.1583333333333,1,5,2,0
6,8,5.98333333333334,50.1583333333333,2,3,4,0
7,0,6.00000000000001,50.1583333333333,1,7,1,0
7,1,6.00000000000001,50.1583333333333,0,6,0,0
7,2,6.00000000000001,50.1583333333333,1,2,1,0
7,3,6.00000000000001,50.1583333333333,1,6,1,0
7,4,6.00000000000001,50.1583333333333,0,3,0,0
7,5,6.00000000000001,50.1583333333333,0,5,0,0
7,6,6.00000000000001,50.1583333333333,2,9,3,0
7,7,6.00000000000001,50.1583333333333,0,6,0,0
7,8,6.00000000000001,50.1583333333333,0,6,0,0
8,0,6.00833333333334,50.1583333333333,1,6,2,0
8,1,6.00833333333334,50.1583333333333,1,9,1,0
8,2,6.00833333333334,50.1583333333333,2,2,3,0
8,3,6.00833333333334,50.1583333333333,1,10,2,0
8,4,6.00833333333334,50.1583333333333,0,6,0,0
8,5,6.00833333333334,50.1583333333333,2,9,3,0
8,6,6.00833333333334,50.1583333333333,1,4,2,0
8,7,6.00833333333334,50.1583333333333,0,1,0,0
8,8,6.00833333333334,50.1583333333333,1,6,2,0
9,0,5.96666666666668,50.15,0,8,0,0
9,1,5.96666666666668,50.15,0,6,0,0
9,2,5.96666666666668,50.15,0,2,0,0
9,3,5.96666666666668,50.15,0,3,0,0
9,4,5.96666666666668,50.15,0,5,0,0
9,5,5.96666666666668,50.15,0,3,0,0
9,6,5.96666666666668,50.15,0,3,0,0
9,7,5.96666666666668,50.15,0,5,0,0
9,8,5.96666666666668,50.15,0,6,0,0
10,0,5.97500000000001,50.15,3,5,7,0
10,1,5.97500000000001,50.15,4,4,9,0
