time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
6.0,2,3,7,0,1,2,0,0,0,2,0
6.0,3,6,10,1,1,2,0,0,0,2,0
6.0,4,11,10,1,2,2,0,0,0,2,0
6.0,5,14,11,1,2,2,0,0,0,2,0
6.0,6,18,11,1,2,2,0,0,0,2,0
6.0,7,20,12,1,2,2,0,0,0,2,0
6.0,8,20,16,1,6,3,0,0,0,3,0
6.0,9,20,19,1,7,5,0,0,0,5,0
6.0,10,20,23,3,8,5,0,0,0,7,0
6.0,11,20,25,3,8,5,0,0,0,7,0
6.0,12,20,29,4,11,7,0,0,0,8,0
6.0,13,20,33,5,11,9,0,0,0,9,0
6.0,14,20,34,5,12,9,0,0,0,9,0
6.0,15,20,35,6,12,9,0,0,0,9,0
6.0,16,20,36,7,12,9,0,0,0,9,0
6.0,17,20,39,9,12,10,0,0,0,10,0
7.0,1,1,3,0,1,0,0,0,0,0,0
7.0,2,1,7,0,2,2,0,0,0,3,0
7.0,3,4,10,1,2,2,0,0,0,3,0
7.0,4,9,10,1,3,2,0,0,0,3,0
7.0,5,12,11,1,3,2,0,0,0,3,0
7.0,6,16,11,1,3,2,0,0,0,3,0
7.0,7,18,12,1,3,2,0,0,0,3,0
7.0,8,18,15,2,7,3,0,0,0,4,0
7.0,9,18,17,2,8,6,0,0,0,6,0
7.0,10,18,21,4,9,6,0,0,0,8,0
7.0,11,18,23,4,9,6,0,0,0,8,0
7.0,12,18,25,4,12,10,0,0,0,10,0
7.0,13,18,26,8,12,12,0,0,0,11,0
7.0,14,18,27,8,12,12,0,0,0,12,0
7.0,15,18,28,9,12,12,0,0,0,12,0
7.0,16,18,29,10,12,12,0,0,0,12,0
7.0,17,18,32,12,12,12,1,0,0,13,0
8.0,1,0,3,0,2,0,0,0,0,0,0
8.0,2,0,7,0,3,2,0,0,0,3,0
8.0,3,3,9,2,3,2,0,0,0,3,0
8.0,4,8,9,2,4,2,0,0,0,3,0
8.0,5,11,10,2,4,2,0,0,0,3,0
8.0,6,15,10,2,4,2,0,0,0,3,0
8.0,7,17,10,2,5,2,0,0,0,3,0
8.0,8,17,13,3,9,2,0,0,0,5,0
8.0,9,17,13,3,10,5,0,0,0,9,0
8.0,10,17,17,5,11,5,0,0,0,11,0
8.0,11,17,18,5,11,6,0,0,0,11,0
8.0,12,17,19,5,14,11,0,0,0,13,0
8.0,13,17,20,9,14,13,0,0,0,14,0
8.0,14,17,20,9,15,13,0,0,0,15,0
8.0,15,17,20,11,15,13,0,0,0,15,0
8.0,16,17,21,12,15,13,0,0,0,15,0
8.0,17,17,23,15,15,13,1,0,0,16,0
9.0,1,0,2,0,3,0,0,0,0,0,0
9.0,2,0,5,1,4,2,0,0,0,3,0
9.0,3,3,7,3,4,2,0,0,0,3,0
9.0,4,8,7,3,5,2,0,0,0,3,0
9.0,5,11,8,3,5,2,0,0,0,3,0
9.0,6,15,8,3,5,2,0,0,0,3,0
9.0,7,17,8,3,6,2,0,0,0,3,0
9.0,8,17,10,4,9,3,0,0,0,6,0
9.0,9,17,10,4,10,6,0,0,0,10,0
9.0,10,17,14,6,11,6,0,0,0,12,0
9.0,11,17,15,6,11,7,0,0,0,12,0
9.0,12,17,16,6,14,11,0,0,0,15,0
9.0,13,17,16,11,14,13,0,0,0,16,0
9.0,14,17,16,11,15,13,0,0,0,17,0
9.0,15,17,16,13,15,13,0,0,0,17,0
9.0,16,17,16,14,15,14,0,0,0,17,0
9.0,17,17,18,17,15,14,1,0,0,18,0
10.0,1,0,1,1,2,0,0,0,0,1,0
10.0,2,0,4,2,3,2,0,0,0,4,0
10.0,3,3,6,4,3,2,0,0,0,4,0
