timestep,age_group,Susceptible,Exposed,InfectASympt,InfectMild,InfectGP,InfectHosp,InfectICU,InfectICURecov,Recovered,Dead
7,6,1540,154,46,46,20,0,0,0,10,0
7,7,1973,196,53,58,38,1,0,0,7,0
7,8,2425,265,53,64,36,0,0,0,9,0
7,9,2326,237,37,74,32,0,0,0,5,0
7,10,2232,238,42,70,37,1,0,0,6,0
7,11,1961,231,39,66,28,0,0,0,5,0
7,12,1797,216,42,45,27,0,0,0,13,0
7,13,1731,17,2,10,1,0,0,0,2,0
7,14,1520,12,0,5,0,0,0,0,0,0
7,15,1230,4,1,1,0,0,0,0,2,0
7,16,1976,19,2,6,1,0,0,0,3,0
8,0,1295,58,18,8,7,0,0,0,2,0
8,1,1389,110,28,48,18,0,0,0,10,0
8,2,1524,188,40,56,21,0,0,0,10,0
8,3,1415,99,20,24,13,0,0,0,6,0
8,4,1415,120,35,40,20,0,0,0,7,0
8,5,1420,154,39,36,35,0,0,0,4,0
8,6,1479,184,59,55,25,0,0,0,14,0
8,7,1897,234,61,70,51,1,0,0,12,0
8,8,2344,287,73,79,56,0,0,0,13,0
8,9,2242,269,50,91,44,0,0,0,15,0
8,10,2152,259,62,83,54,3,0,0,13,0
8,11,1896,247,53,88,39,0,0,0,7,0
8,12,1721,243,56,68,35,0,0,0,17,0
8,13,1718,25,3,10,4,0,0,0,3,0
8,14,1508,23,0,6,0,0,0,0,0,0
8,15,1226,6,2,2,0,0,0,0,2,0
8,16,1965,28,3,6,2,0,0,0,3,0
9,0,1276,64,25,10,10,0,0,0,3,0
9,1,1339,130,37,63,22,0,0,0,12,0
9,2,1474,209,46,71,27,0,0,0,12,0
9,3,1391,103,31,24,17,0,0,0,11,0
9,4,1378,144,41,42,22,0,0,0,10,0
9,5,1368,173,50,44,40,0,0,0,13,0
9,6,1421,211,67,67,30,1,0,0,19,0
9,7,1833,247,84,84,57,1,0,0,20,0
9,8,2250,319,95,97,75,0,0,0,16,0
9,9,2149,306,68,107,57,0,0,0,24,0
9,10,2076,285,80,94,65,4,0,0,22,0
9,11,1830,262,65,101,56,0,0,0,16,0
9,12,1659,247,77,82,48,3,0,0,24,0
9,13,1705,34,4,9,6,0,0,0,5,0
9,14,1500,25,3,6,2,0,0,0,1,0
9,15,1220,11,2,3,0,0,0,0,2,0
9,16,1958,31,4,7,3,0,0,0,4,0
10,0,1266,58,31,17,12,0,0,0,4,0
10,1,1312,128,46,74,28,0,0,0,15,0
10,2,1430,209,62,83,36,0,0,0,19,0
10,3,1362,118,38,25,19,0,0,0,15,0
10,4,1338,152,51,56,28,0,0,0,12,0
10,5,1321,187,59,57,43,0,0,0,21,0
10,6,1373,204,84,87,40,1,0,0,27,0
10,7,1765,252,102,109,70,1,0,0,27,0
10,8,2188,307,121,118,87,1,0,0,30,0
10,9,2077,306,96,129,67,0,0,0,36,0
10,10,1994,300,106,109,78,5,0,0,34,0
10,11,1774,258,85,117,70,0,0,0,26,0
10,12,1604,249,98,91,58,1,2,0,37,0
10,13,1699,34,5,10,8,0,0,0,7,0
10,14,1491,31,4,5,4,0,0,0,2,0
10,15,1213,16,3,2,1,0,0,0,3,0
10,16,1951,31,6,11,4,0,0,0,4,0
11,0,1250,64,32,25,12,0,0,0,5,0
11,1,1270,142,55,84,30,0,0,0,22,0
11,2,1378,218,77,95,41,0,0,0,30,0
11,3,1343,110,50,30,21,0,0,0,23,0
11,4,1295,157,61,67,32,0,0,0,25,0
11,5,1278,194,69,67,51,0,0,0,29,0
11,6,1309,212,103,98,55,1,0,0,38,0
11,7,1682,284,116,125,77,1,0,0,41,0
11,8,2100,324,141,140,101,1,0,0,45,0
11,9,1978,338,118,147,76,0,0,0,54,0
11,10,1908,332,119,125,87,7,0,0,48,0
11,11,1710,266,102,134,80,0,0,0,38,0
11,12,1541,252,118,109,75,2,2,0,41,0
11,13,1693,32,10,12,8,0,0,0,8,0
11,14,1484,33,5,7,5,1,0,0,2,0
11,15,1210,17,4,3,1,0,0,0,3,0
11,16,1946,32,7,13,4,0,0,0,5,0
12,0,1239,64,34,29,15,0,0,0,7,0
12,1,1234,147,63,89,38,0,0,0,32,0
12,2,1324,227,89,115,47,0,0,0,37,0
12,3,1303,124,57,35,31,0,0,0,27,0
12,4,1253,160,76,75,43,0,0,0,30,0
12,5,1206,225,77,86,59,0,0,0,35,0
12,6,1244,228,123,110,65,0,1,0,45,0
12,7,1614,286,139,140,78,2,0,0,67,0
12,8,2019,319,167,173,104,3,0,0,67,0
12,9,1900,343,153,151,87,1,0,0,76,0
12,10,1836,337,139,144,99,7,0,0,63,1
12,11,1630,289,118,146,86,0,0,0,61,0
12,12,1467,274,131,131,81,0,4,0,52,0
12,13,1682,38,12,12,8,0,0,0,11,0
12,14,1478,29,6,8,10,1,1,0,4,0
12,15,1209,17,4,3,1,0,0,0,4,0
12,16,1939,32,8,14,8,0,0,0,6,0
13,0,1233,52,37,35,20,0,0,0,11,0
13,1,1227,123,67,96,46,0,0,0,44,0
13,2,1287,221,103,132,51,0,0,0,45,0
13,3,1272,132,62,41,35,0,0,0,35,0
13,4,1232,145,90,79,50,0,0,0,41,0
13,5,1174,206,90,104,67,1,0,0,46,0
13,6,1207,218,135,116,72,0,1,0,67,0
13,7,1552,298,145,150,80,2,0,0,99,0
13,8,1974,298,187,179,115,5,0,0,94,0
13,9,1829,346,174,168,92,2,0,0,100,0
