longitude 	latitude 	population 	country 	admin_unit
-5.366667	36.15	81	24	240100
-5.358333	36.15	1494	24	240100
-5.35	36.15	7190	24	240100
-5.366667	36.141666	1726	24	240100
-5.358333	36.141666	6777	24	240100
-5.35	36.141666	3569	24	240100
-5.358333	36.133335	4909	24	240100
-5.35	36.133335	938	24	240100
-5.358333	36.125	2816	24	240100
-5.35	36.125	1032	24	240100
-5.358333	36.116665	761	24	240100
-5.35	36.116665	1785	24	240100
