av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
10.0,0.0,9926.0,0.0,0.0,0.0,10.0,0.0,8090.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9926.0,0.0,0.1,0.31622776601683794,9.5,0.7071067811865476,8090.0,0.0,0.5,0.7071067811865476,1
13.8,4.685675570881488,9858.8,49.881637681393116,0.2,0.42163702135578396,9.5,2.592724864350674,8059.9,12.404748194855781,0.8,0.7888106377466155,2
22.6,11.955472944778611,9836.3,74.52523808154596,0.9,0.7378647873726218,13.5,4.222953153106642,8051.7,19.52235186196126,1.8,1.3165611772087666,3
39.0,24.939927826679853,9788.0,113.95515687224417,2.7,2.540778533354601,18.2,7.450577904505873,8041.8,23.95273122909647,3.6,1.2649110640673518,4
59.7,40.685924401989986,9714.2,191.6048016099805,4.0,2.70801280154532,23.6,10.286992865858428,8023.0,26.00427315312278,4.5,1.2692955176439846,5
94.5,73.32007455897282,9533.7,312.7604869900004,7.4,3.893013685508382,34.2,14.397530652472629,7989.5,39.1159245775369,6.5,2.223610677354389,6
154.6,120.55261645162801,9306.9,465.88516706253796,13.1,8.26572575290411,46.3,17.913681921927722,7960.6,47.022925850648164,7.9,2.558211180579986,7
253.3,188.14122945867615,8947.1,696.632925817703,22.1,16.353389047330015,59.9,20.431185313958984,7903.8,58.74577999028242,10.7,3.8311588035185618,8
399.5,287.0761610134534,8523.6,984.0324294565817,34.8,27.34064942738397,84.8,28.338430913984396,7837.9,77.14121250451451,14.0,4.9216076867444665,9
594.4,412.3852567684737,7936.4,1257.2203201242546,56.9,40.63783130696486,116.5,35.68457494336858,7776.6,82.74754108464828,18.3,6.498717822257967,10
859.3,555.594986378467,7255.9,1447.752852603725,87.9,60.38294461186867,149.5,46.058537632982755,7691.7,90.5980745441707,24.2,7.390684827688313,11
1175.3,694.9681127776855,6540.9,1574.4478009060124,135.1,92.35493128866122,191.4,51.14076434487245,7615.3,112.40803648612793,32.9,10.70254383053134,12
1557.5,815.199805092115,5755.0,1623.3098560930655,205.8,138.4002247910827,232.5,53.87279255596258,7528.6,128.60378428854003,47.3,14.712428608341844,13
