time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,32,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,39,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,55,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,57,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,48,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,80,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,58,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,40,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,30,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,33,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,35,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,33,0,0,0,0,0,0,0,0,0,0
0,17,0,0,0,35,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0
0,2,1,0,1,8,0,0,0,0,0,0,0,0,0,0
0,3,1,0,1,15,0,0,0,0,0,0,0,0,0,0
0,4,1,0,1,24,0,0,0,0,0,0,0,0,0,0
0,5,1,0,1,40,0,0,0,0,0,0,0,0,0,0
0,6,1,0,1,30,0,0,0,0,0,0,0,0,0,0
0,7,1,0,1,50,0,0,0,0,0,0,0,0,0,0
0,8,1,0,1,66,0,0,0,0,0,0,0,0,0,0
0,9,1,0,1,69,0,0,0,0,0,0,0,0,0,0
0,10,1,0,1,71,0,0,0,0,0,0,0,0,0,0
0,11,1,0,1,53,0,0,0,0,0,0,0,0,0,0
0,12,1,0,1,50,0,0,0,0,0,0,0,0,0,0
0,13,1,0,1,35,0,0,0,0,0,0,0,0,0,0
0,14,1,0,1,25,0,0,0,0,0,0,0,0,0,0
0,15,1,0,1,23,0,0,0,0,0,0,0,0,0,0
0,16,1,0,1,21,0,0,0,0,0,0,0,0,0,0
0,17,1,0,1,33,0,0,0,0,0,0,0,0,0,0
0,1,2,0,2,7,0,0,0,0,0,0,0,0,0,0
0,2,2,0,2,6,0,0,0,0,0,0,0,0,0,0
0,3,2,0,2,10,0,0,0,0,0,0,0,0,0,0
0,4,2,0,2,18,0,0,0,0,0,0,0,0,0,0
0,5,2,0,2,36,0,0,0,0,0,0,0,0,0,0
0,6,2,0,2,47,0,0,0,0,0,0,0,0,0,0
0,7,2,0,2,39,0,0,0,0,0,0,0,0,0,0
0,8,2,0,2,53,0,0,0,0,0,0,0,0,0,0
0,9,2,0,2,81,0,0,0,0,0,0,0,0,0,0
0,10,2,0,2,66,0,0,0,0,0,0,0,0,0,0
0,11,2,0,2,61,0,0,0,0,0,0,0,0,0,0
0,12,2,0,2,45,0,0,0,0,0,0,0,0,0,0
0,13,2,0,2,29,0,0,0,0,0,0,0,0,0,0
0,14,2,0,2,28,0,0,0,0,0,0,0,0,0,0
