av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
10.0,0.0,8090.0,0.0,0.0,0.0,0
9.5,0.7071067811865476,8090.0,0.0,0.5,0.7071067811865476,1
9.5,2.592724864350674,8059.9,12.404748194855781,0.8,0.7888106377466155,2
13.5,4.222953153106642,8051.7,19.52235186196126,1.8,1.3165611772087666,3
18.2,7.450577904505873,8041.8,23.95273122909647,3.6,1.2649110640673518,4
23.6,10.286992865858428,8023.0,26.00427315312278,4.5,1.2692955176439846,5
34.2,14.397530652472629,7989.5,39.1159245775369,6.5,2.223610677354389,6
46.3,17.913681921927722,7960.6,47.022925850648164,7.9,2.558211180579986,7
59.9,20.431185313958984,7903.8,58.74577999028242,10.7,3.8311588035185618,8
84.8,28.338430913984396,7837.9,77.14121250451451,14.0,4.9216076867444665,9
116.5,35.68457494336858,7776.6,82.74754108464828,18.3,6.498717822257967,10
149.5,46.058537632982755,7691.7,90.5980745441707,24.2,7.390684827688313,11
191.4,51.14076434487245,7615.3,112.40803648612793,32.9,10.70254383053134,12
232.5,53.87279255596258,7528.6,128.60378428854003,47.3,14.712428608341844,13
282.6,65.96328945372234,7428.5,142.71747537627542,61.4,18.410142132350128,14
334.0,72.3264205606161,7323.2,150.68937881910887,79.6,24.89176570675532,15
387.6,84.98522747447869,7212.0,190.99156467702383,105.1,29.25538886731431,16
440.5,95.90996935784216,7090.5,225.00530857935084,134.7,30.99838705481303,17
505.1,109.9741888909494,6961.3,239.4795514350976,167.6,39.805638908185976,18
563.2,125.75355086658809,6826.7,275.15573368145135,209.0,47.88179890800539,19
621.7,134.95517774431627,6684.4,311.37051883567915,255.5,55.84154168518074,20
687.2,158.99951083083383,6552.7,357.12495478940326,306.9,66.80560522058676,21
747.6,176.6403754021776,6389.6,417.56734653093855,367.7,78.31141537335267,22
806.6,200.11951984307333,6251.6,451.4633490722758,435.0,93.31785585954181,23
862.4,223.83585255469887,6102.5,503.03307821432355,505.8,106.6435391594092,24
916.7,243.06471474805954,5944.9,536.2405036714196,584.8,124.07327584043946,25
973.0,267.6980056373641,5785.5,583.7892028235306,670.5,144.82115407172623,26
1018.6,275.57382555920174,5614.1,622.3620686099407,763.1,168.05518273604193,27
1078.9,297.06132924588707,5458.2,649.8818354131772,859.0,194.58502854365065,28
1126.5,299.6669447533007,5296.3,692.6206353007716,957.8,221.46371661691623,29
1160.3,303.96492853251635,5119.3,740.6488221672791,1066.3,249.73766235792309,30
1209.3,315.1479546710296,4965.0,755.9157801413241,1174.8,275.4175819450248,31
1259.5,331.0526141466539,4817.3,793.1897699233842,1288.3,296.98785983418395,32
1297.4,323.96131456291715,4636.9,837.6520691127605,1409.9,337.78015532788976,33
1335.3,328.06742193234203,4470.1,857.6796151373904,1533.1,370.432614954761,34
1380.0,334.16496258917124,4300.2,897.7779730472835,1655.6,403.7689658428168,35
1409.0,326.8421297473411,4130.3,933.9483747331362,1791.6,443.0736582856926,36
1431.4,339.2606994955682,3959.1,968.6107405282406,1934.2,471.73599019413865,37
1451.3,340.7139725798035,3788.8,986.2832363080203,2079.1,502.39060721934504,38
1488.3,324.35476119692015,3622.9,1011.5195884300896,2218.4,542.3394181178835,39
1507.7,328.3375803447828,3461.4,1028.1404141026221,2367.0,573.7434579631872,40
1519.6,320.39045623183665,3294.0,1024.353020745832,2519.5,609.2361793444495,41
1537.5,314.6007169589909,3124.8,1035.0341701283749,2664.9,640.7876143205849,42
1546.1,310.1005034214266,2964.6,1025.2966183283527,2822.0,667.1691439707525,43
1545.5,290.78791431404284,2809.7,1019.4169411972708,2981.7,697.7791834734602,44
1552.3,268.55500160840216,2647.7,1006.006411510384,3133.6,723.3485712680682,45
1551.1,245.90036374289667,2482.0,984.4715446483063,3288.8,749.809427639969,46
1552.3,223.3035054708178,2325.0,956.7480801594999,3445.7,778.2851591087222,47
1552.0,188.69022232219666,2166.4,910.8726219034874,3609.2,809.9073746766081,48
1555.4,159.26511789396253,2024.1,876.0603036067525,3771.3,832.4172364599111,49
1553.9,143.27785748134443,1874.2,856.4919147312484,3932.7,846.7628619893792,50
1536.6,129.92322519258997,1735.6,834.0114840669495,4100.8,856.161433375739,51
1530.3,117.14383371640942,1605.4,802.6604650923217,4251.5,874.1801555997737,52
1518.8,111.45980840145424,1476.9,755.481516797216,4406.5,882.3650353201647,53
1507.4,113.90561394807935,1350.7,711.3174084440474,4569.7,884.1261913450038,54
1488.5,127.28729534229076,1213.7,664.5911107172924,4732.2,882.6840129211963,55
1474.3,146.32160165577437,1078.9,616.8056510045211,4884.1,880.7351033212097,56
1452.5,170.63427426972447,969.0,579.1908148442964,5042.3,882.8450285550938,57
1438.1,193.97791970565444,858.4,536.5629713483984,5189.7,869.7597433263459,58
1409.1,224.17773206890007,751.9,491.1870994505726,5343.9,861.7544700589993,59
1380.1,249.9695314766715,652.8,442.4539649625836,5488.8,844.2770477357142,60
