time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,38,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,49,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,67,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,64,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,61,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,45,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,51,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,49,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,39,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,34,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,36,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,21,0,0,0,0,0,0,0,0,0,0
0,17,0,0,0,18,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,14,0,0,0,0,0,0,0,0,0,0
0,2,1,0,1,13,0,0,0,0,0,0,0,0,0,0
0,3,1,0,1,15,0,0,0,0,0,0,0,0,0,0
0,4,1,0,1,15,0,0,0,0,0,0,0,0,0,0
0,5,1,0,1,40,0,0,0,0,0,0,0,0,0,0
0,6,1,0,1,47,0,0,0,0,0,0,0,0,0,0
0,7,1,0,1,44,0,0,0,0,0,0,0,0,0,0
0,8,1,0,1,42,0,0,0,0,0,0,0,0,0,0
0,9,1,0,1,63,0,0,0,0,0,0,0,0,0,0
0,10,1,0,1,52,0,0,0,0,0,0,0,0,0,0
0,11,1,0,1,48,0,0,0,0,0,0,0,0,0,0
0,12,1,0,1,46,0,0,0,0,0,0,0,0,0,0
0,13,1,0,1,52,0,0,0,0,0,0,0,0,0,0
