time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,49,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,88,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,58,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,67,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,54,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,36,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,31,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,36,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,23,0,0,0,0,0,0,0,0,0,0
0,17,0,0,0,31,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0
0,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0
0,3,1,0,1,11,0,0,0,0,0,0,0,0,0,0
0,4,1,0,1,15,0,0,0,0,0,0,0,0,0,0
0,5,1,0,1,36,0,0,0,0,0,0,0,0,0,0
0,6,1,0,1,50,0,0,0,0,0,0,0,0,0,0
0,7,1,0,1,36,0,0,0,0,0,0,0,0,0,0
0,8,1,0,1,54,0,0,0,0,0,0,0,0,0,0
0,9,1,0,1,70,0,0,0,0,0,0,0,0,0,0
0,10,1,0,1,62,0,0,0,0,0,0,0,0,0,0
0,11,1,0,1,58,0,0,0,0,0,0,0,0,0,0
0,12,1,0,1,46,0,0,0,0,0,0,0,0,0,0
0,13,1,0,1,41,0,0,0,0,0,0,0,0,0,0
0,14,1,0,1,31,0,0,0,0,0,0,0,0,0,0
0,15,1,0,1,29,0,0,0,0,0,0,0,0,0,0
0,16,1,0,1,25,0,0,0,0,0,0,0,0,0,0
0,17,1,0,1,45,0,0,0,0,0,0,0,0,0,0
0,1,2,0,2,6,0,0,0,0,0,0,0,0,0,0
0,2,2,0,2,7,0,0,0,0,0,0,0,0,0,0
0,3,2,0,2,4,0,0,0,0,0,0,0,0,0,0
0,4,2,0,2,15,0,0,0,0,0,0,0,0,0,0
0,5,2,0,2,32,0,0,0,0,0,0,0,0,0,0
0,6,2,0,2,30,0,0,0,0,0,0,0,0,0,0
0,7,2,0,2,48,0,0,0,0,0,0,0,0,0,0
0,8,2,0,2,49,0,0,0,0,0,0,0,0,0,0
0,9,2,0,2,75,0,0,0,0,0,0,0,0,0,0
0,10,2,0,2,62,0,0,0,0,0,0,0,0,0,0
0,11,2,0,2,50,0,0,0,0,0,0,0,0,0,0
0,12,2,0,2,55,0,0,0,0,0,0,0,0,0,0
0,13,2,0,2,49,0,0,0,0,0,0,0,0,0,0
0,14,2,0,2,33,0,0,0,0,0,0,0,0,0,0
0,15,2,0,2,39,0,0,0,0,0,0,0,0,0,0
0,16,2,0,2,25,0,0,0,0,0,0,0,0,0,0
0,17,2,0,2,42,0,0,0,0,0,0,0,0,0,0
0,1,3,0,3,7,0,0,0,0,0,0,0,0,0,0
0,2,3,0,3,12,0,0,0,0,0,0,0,0,0,0
0,3,3,0,3,7,0,0,0,0,0,0,0,0,0,0
0,4,3,0,3,10,0,0,0,0,0,0,0,0,0,0
0,5,3,0,3,42,0,0,0,0,0,0,0,0,0,0
0,6,3,0,3,46,0,0,0,0,0,0,0,0,0,0
0,7,3,0,3,38,0,0,0,0,0,0,0,0,0,0
0,8,3,0,3,70,0,0,0,0,0,0,0,0,0,0
0,9,3,0,3,62,0,0,0,0,0,0,0,0,0,0
0,10,3,0,3,59,0,0,0,0,0,0,0,0,0,0
0,11,3,0,3,61,0,0,0,0,0,0,0,0,0,0
0,12,3,0,3,42,0,0,0,0,0,0,0,0,0,0
0,13,3,0,3,34,0,0,0,0,0,0,0,0,0,0
0,14,3,0,3,39,0,0,0,0,0,0,0,0,0,0
0,15,3,0,3,21,0,0,0,0,0,0,0,0,0,0
0,16,3,0,3,24,0,0,0,0,0,0,0,0,0,0
0,17,3,0,3,47,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,10,0,0,0,0,0,0,0,0,0,0
0,2,4,1,0,8,0,0,0,0,0,0,0,0,0,0
0,3,4,1,0,12,0,0,0,0,0,0,0,0,0,0
0,4,4,1,0,10,0,0,0,0,0,0,0,0,0,0
