Susceptible_0,Recovered_0,Infected_0,Susceptible_1,Recovered_1,Infected_1,Susceptible_2,Recovered_2,Infected_2,Susceptible_3,Recovered_3,Infected_3,Susceptible_4,Recovered_4,Infected_4,Susceptible_5,Recovered_5,Infected_5,Susceptible_6,Recovered_6,Infected_6,Susceptible_7,Recovered_7,Infected_7,Susceptible_8,Recovered_8,Infected_8,Susceptible_9,Recovered_9,Infected_9,time
8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,8090,0,10,0
8090,0,10,8090,2,8,8090,0,10,8090,0,10,8090,0,10,8090,1,9,8090,1,9,8090,0,10,8090,1,9,8090,0,10,1
8048,0,6,8082,2,8,8077,1,7,8055,0,9,8067,0,6,8073,1,6,8066,1,7,8064,1,9,8054,1,7,8081,1,9,2
8030,2,13,8081,2,6,8065,1,9,8048,0,11,8059,1,10,8068,2,13,8065,1,11,8052,3,6,8054,2,11,8079,1,12,3
8002,3,24,8080,2,7,8046,4,12,8048,2,21,8050,2,16,8062,5,13,8056,2,17,8050,4,12,8048,4,17,8076,3,9,4
7967,3,45,8078,2,8,8032,2,20,8014,2,27,8009,4,19,8025,6,22,8011,2,22,8035,4,25,8025,4,24,8039,4,14,5
7955,5,58,8067,4,9,8007,2,25,7998,4,42,7992,5,28,7994,7,31,7994,2,36,8003,3,36,8006,6,34,8035,5,24,6
7919,10,70,8062,4,16,7993,3,38,7968,6,52,7983,5,44,7970,9,42,7959,5,41,7968,5,45,7995,8,45,8027,5,33,7
7871,10,93,8038,4,21,7988,4,52,7955,9,67,7972,9,63,7937,13,60,7926,7,60,7919,9,59,7975,7,55,8009,10,36,8
7840,17,110,7990,6,24,7982,6,62,7926,15,79,7928,13,73,7904,20,68,7909,14,77,7895,13,76,7935,12,72,7995,13,42,9
7813,29,124,7984,6,40,7971,8,73,7880,22,94,7875,18,90,7882,24,84,7882,19,98,7865,16,92,7894,17,84,7958,15,49,10
7778,42,147,7969,8,53,7950,12,75,7871,33,101,7825,26,107,7839,32,103,7850,23,110,7837,19,116,7850,17,101,7926,19,63,11
7732,47,167,7927,9,60,7926,19,90,7856,40,108,7776,33,136,7748,41,125,7813,31,130,7800,28,140,7822,25,114,7900,25,74,12
