time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
6.0,2,0,8,1,4,2,0,0,0,0,0
6.0,3,0,11,3,6,2,0,0,0,0,0
6.0,4,0,13,4,7,3,0,0,0,1,0
6.0,5,0,15,4,8,3,0,0,0,2,0
6.0,6,0,16,5,9,4,0,0,0,2,0
6.0,7,0,18,5,9,5,0,0,0,2,0
6.0,8,0,22,6,11,8,0,0,0,2,0
6.0,9,0,26,8,12,8,0,0,0,3,0
6.0,10,0,30,10,13,8,1,0,0,4,0
6.0,11,0,32,10,13,8,1,0,0,4,0
6.0,12,0,34,11,15,11,1,0,0,7,0
6.0,13,0,39,11,17,11,2,0,0,7,0
6.0,14,0,41,11,17,11,2,0,0,7,0
6.0,15,0,43,11,17,11,2,0,0,7,0
6.0,16,0,44,11,18,11,2,0,0,7,0
6.0,17,0,49,11,19,12,2,0,0,7,0
7.0,1,0,3,0,2,0,0,0,0,0,0
7.0,2,0,7,1,4,2,0,0,0,1,0
7.0,3,0,9,4,5,2,0,0,0,2,0
7.0,4,0,10,6,5,3,0,0,0,4,0
7.0,5,0,12,6,5,3,0,0,0,6,0
7.0,6,0,13,7,6,4,0,0,0,6,0
7.0,7,0,15,7,6,5,0,0,0,6,0
7.0,8,0,18,8,8,8,0,0,0,7,0
7.0,9,0,22,10,9,8,0,0,0,8,0
7.0,10,0,24,12,11,9,1,0,0,9,0
7.0,11,0,26,12,11,9,1,0,0,9,0
7.0,12,0,28,13,12,12,1,0,0,13,0
7.0,13,0,32,14,14,12,2,0,0,13,0
7.0,14,0,34,14,14,12,2,0,0,13,0
7.0,15,0,36,14,14,12,2,0,0,13,0
7.0,16,0,37,14,15,12,2,0,0,13,0
7.0,17,0,40,15,17,13,2,0,0,13,0
8.0,1,0,2,0,2,1,0,0,0,0,0
8.0,2,0,5,1,5,3,0,0,0,1,0
8.0,3,0,7,4,6,3,0,0,0,2,0
8.0,4,0,8,6,6,4,0,0,0,4,0
8.0,5,0,10,6,6,4,0,0,0,6,0
8.0,6,0,11,7,7,5,0,0,0,6,0
8.0,7,0,13,7,7,6,0,0,0,6,0
8.0,8,0,15,8,9,10,0,0,0,7,0
8.0,9,0,18,10,10,10,0,0,0,9,0
8.0,10,0,20,12,12,11,1,0,0,10,0
8.0,11,0,21,12,12,12,1,0,0,10,0
8.0,12,0,21,14,14,15,1,0,0,14,0
8.0,13,0,25,15,16,15,2,0,0,14,0
8.0,14,0,27,15,16,15,2,0,0,14,0
8.0,15,0,28,16,16,15,2,0,0,14,0
8.0,16,0,29,16,17,15,2,0,0,14,0
8.0,17,0,32,17,19,16,2,0,0,14,0
9.0,1,0,2,0,2,1,0,0,0,0,0
9.0,2,0,3,2,4,4,0,0,0,2,0
9.0,3,0,5,5,5,4,0,0,0,3,0
9.0,4,0,6,7,5,5,0,0,0,5,0
9.0,5,0,7,7,6,5,0,0,0,7,0
9.0,6,0,8,8,6,6,0,0,0,8,0
9.0,7,0,8,8,8,7,0,0,0,8,0
9.0,8,0,10,9,10,11,0,0,0,9,0
9.0,9,0,13,11,11,11,0,0,0,11,0
9.0,10,0,15,13,13,12,1,0,0,12,0
9.0,11,0,16,13,13,13,1,0,0,12,0
9.0,12,0,16,15,15,16,1,0,0,16,0
9.0,13,0,19,17,17,16,2,0,0,16,0
9.0,14,0,20,18,17,16,2,0,0,16,0
9.0,15,0,21,19,17,16,2,0,0,16,0
9.0,16,0,22,19,18,16,2,0,0,16,0
9.0,17,0,25,20,19,17,2,0,0,17,0
10.0,1,0,1,0,2,1,0,0,0,1,0
10.0,2,0,1,2,5,4,0,0,0,3,0
10.0,3,0,3,5,5,4,0,0,0,5,0
10.0,4,0,4,7,5,5,0,0,0,7,0
10.0,5,0,5,7,6,5,0,0,0,9,0
10.0,6,0,6,8,6,6,0,0,0,10,0
10.0,7,0,6,8,8,7,0,0,0,10,0
10.0,8,0,8,9,10,11,0,0,0,11,0
10.0,9,0,10,10,12,11,0,0,0,14,0
10.0,10,0,12,12,14,12,1,0,0,15,0
10.0,11,0,13,12,14,13,1,0,0,15,0
10.0,12,0,13,14,16,15,1,0,0,20,0
10.0,13,0,16,16,18,15,2,0,0,20,0
10.0,14,0,17,17,18,15,2,0,0,20,0
10.0,15,0,17,18,19,15,2,0,0,20,0
10.0,16,0,17,18,19,16,2,0,0,21,0
10.0,17,0,20,19,20,16,3,0,0,22,0
11.0,1,0,1,0,2,1,0,0,0,1,0
11.0,2,0,1,2,4,4,0,0,0,4,0
11.0,3,0,3,5,4,4,0,0,0,6,0
11.0,4,0,4,7,4,5,0,0,0,8,0
11.0,5,0,4,8,5,5,0,0,0,10,0
11.0,6,0,5,9,5,6,0,0,0,11,0
