time,0.0.0.0,0.0.0.1,0.0.0.2,0.0.0.3,0.0.0.4,0.0.1.0,0.0.1.1,0.0.1.2,0.0.2.0,0.0.2.1,0.0.2.2,0.0.3.0,0.0.3.1,0.0.3.2,0.0.3.3,0.0.4.0,0.0.4.1,0.0.4.2,0.0.4.3,0.0.4.4,0.0.4.5,0.0.4.6,0.0.4.7,0.0.4.8,0.1.0.0,0.1.0.1,0.1.0.2,0.1.0.3,0.1.0.4,0.1.0.5,0.1.0.6,0.1.0.7,0.1.0.8,0.1.1.0,0.1.1.1,0.1.1.2,0.1.1.3,0.1.1.4,0.1.1.5,0.1.2.0,0.1.2.1,0.1.2.2,0.1.2.3,0.1.2.4,0.1.2.5,0.1.2.6,0.1.3.0,0.1.3.1,0.1.4.0,0.1.4.1,0.1.4.2,0.1.4.3,0.1.4.4,0.1.4.5,0.1.4.6,0.1.4.7,1.0.0.0,1.0.0.1,1.0.0.2,1.0.0.3,1.0.0.4,1.0.0.5,1.0.0.6,1.0.0.7,1.0.0.8,1.0.1.0,1.0.1.1,1.0.1.2,1.0.1.3,1.0.1.4,1.0.2.0,1.0.2.1,1.0.3.0,1.0.3.1,1.0.3.2,1.0.4.0,1.0.4.1,1.0.4.2,1.0.4.3,1.0.4.4,1.1.0.0,1.1.0.1,1.1.1.0,1.1.1.1,1.1.1.2,1.1.2.0,1.1.2.1,1.1.2.2,1.1.2.3,1.1.2.4,1.1.3.0,1.1.3.1,1.1.3.2,1.1.3.3,1.1.3.4,1.1.4.0,1.1.4.1,1.1.4.2,1.1.4.3,1.1.4.4
21.0,9,3,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,3,3,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,4,5,9,9,1,1,1,1,9,1,1,1,1,1,3,5,9,7,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.0,9,9,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,3,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,4,5,9,9,1,1,1,1,9,1,1,1,1,1,3,5,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.0,9,9,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,4,5,9,9,1,1,1,1,9,1,1,1,1,1,3,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.0,9,9,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,4,5,9,9,1,1,1,1,9,1,1,1,1,1,3,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.0,9,9,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,9,5,9,9,1,1,1,1,9,1,1,1,1,1,3,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.0,9,9,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,9,5,9,9,1,1,1,1,9,1,1,1,1,1,9,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.0,9,9,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,9,9,9,9,1,1,1,1,9,1,1,1,1,1,9,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.0,9,9,3,9,9,1,1,1,1,1,1,9,9,3,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,3,9,9,9,9,3,3,9,9,9,9,9,9,9,1,1,1,1,9,1,1,1,1,1,9,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.0,9,9,3,9,9,1,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,3,9,9,9,9,3,3,9,9,9,9,9,9,9,1,1,1,1,9,1,1,1,1,1,9,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30.0,9,9,3,9,9,1,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,3,9,9,9,9,9,3,9,9,9,9,9,9,9,1,1,1,1,9,1,1,1,1,1,9,9,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
